pl_name,pl_orbper,pl_insol,pl_eqt,pl_rade,pl_bmasse,pl_orbeccen,st_teff,st_met,is_habitable,esi_score,hz_flux_ratio,in_habitable_zone,density_proxy,temp_delta_earth,stellar_class,star_G,star_Hot,star_K,star_M,esi_computed
HD 260655 c,5.70588,16.1,557.0,1.533,3.09,0.038,3803.0,-0.43,0,0.35792152,16.1,0,0.8576932947217799,302.0,M,False,False,False,True,0.5321
Kepler-1426 b,14.2563227,95.22,797.0,1.56,3.05,0.0,5831.0,0.03,0,0.29397562,95.22,0,0.8033893019100119,542.0,G,True,False,False,False,0.3808
Kepler-1988 b,11.49500229,351.79,1105.0,1.53,2.96,0.0,6033.0,-0.1,0,,351.79,0,0.8264515882249635,850.0,F,False,False,False,False,0.2844
HD 48948 d,151.92,2.46,349.0,3.24,10.59,0.055,4593.0,-0.21,0,,2.46,0,0.31135864564457766,94.0,K,False,False,True,False,0.6319
Kepler-968 c,5.709404918,58.15,644.0,1.69,3.5,0.0,4598.0,0.13,0,0.29097704,58.15,0,0.7251167386155118,389.0,K,False,False,True,False,0.4362
TOI-1685 b,0.66913923,213.0,1000.0,1.421,3.07,0.0,3470.0,0.01,0,0.27533531,213.0,0,1.069931913551365,745.0,M,False,False,False,True,0.3144
Kepler-678 b,7.27503724,113.64,833.0,5.14,23.1,0.0,5520.0,0.07,0,0.14928614,113.64,0,0.17010717134720113,578.0,G,True,False,False,False,0.2702
Kepler-144 c,10.104665,207.247,1046.0,1.35,2.39,0.0,6075.0,-0.1848,0,0.2917021,207.247,0,0.9713966366915612,791.0,F,False,False,False,False,0.3156
Kepler-427 b,10.290994,208.721,1100.0,13.79,92.17,0.57,5800.0,-0.19,0,0.068886407,208.721,0,0.035147690134435666,845.0,G,True,False,False,False,0.1716
TOI-1298 b,4.537143,732.0077,1278.0,9.65807033,99.0,0.0,5752.0,0.397,0,0.092596941,732.0077,0,0.10989150058517001,1023.0,G,True,False,False,False,0.1428
OGLE-2016-BLG-1067L b,146.3166175844,445.57664000000005,864.2880000000001,14.3,140.0,0.0655999999999999,5936.2,0.1399999999999999,0,,445.57664000000005,0,0.04787622764051929,609.2880000000001,G,True,False,False,False,0.1732
eps Tau b,585.82,22.147,603.08,12.7,2285.18624633,0.076,4877.0,0.1,0,0.10896868,22.147,0,1.1156049656387503,348.08000000000004,K,False,False,True,False,0.1877
Kepler-1874 b,56.57320023,3.79,356.0,2.21110724,5.52,0.0,4701.0,0.24,0,0.50797394,3.79,0,0.5106339169895188,101.0,K,False,False,True,False,0.6715
OGLE-2005-BLG-390L b,3285.0,0.03588,50.0,2.21,5.5,0.258,4448.86,0.172,0,,0.03588,0,0.509548900064583,205.0,K,False,False,True,False,0.2967
HD 93385 c,13.18,128.3482,937.43,2.56,7.1,0.2,5977.0,0.02,0,0.23745876,128.3482,0,0.4231929779052733,682.43,G,True,False,False,False,0.302
K2-88 b,4.6122,7.8,464.6,1.23,2.04,0.26,3537.0,0.0055999999999999,0,0.3435318,7.8,0,1.0962631934469256,209.60000000000002,M,False,False,False,True,0.6454
OGLE-2014-BLG-0319L b,82.0061126694,365.89916000000005,1026.702,14.1,181.16219199,0.0828,5598.4,0.052,0,,365.89916000000005,0,0.06462643936742768,771.702,G,True,False,False,False,0.1549
WASP-94 B b,2.00839,2000.0146,1848.91,14.1,196.411,0.0,6040.0,0.23,0,0.064313713,2000.0146,0,0.07006618457838322,1593.91,F,False,False,False,False,0.093
Teegarden's Star b,4.90634,1.08,277.0,1.05,1.16,0.03,3034.0,-0.11,1,0.95056742,1.08,1,1.0020516142965121,22.0,M,False,False,False,True,0.9556
TOI-5634 A b,2.2035373,77.0,837.0,10.42,588.0,0.0,3896.0,-0.27,0,,77.0,0,0.519725671678432,582.0,M,False,False,False,True,0.1731
TOI-883 b,10.05771848538,91.5488,861.0,7.17166228,40.7,0.0184,5713.15,-0.1556,0,,91.5488,0,0.11034049274847305,606.0,G,True,False,False,False,0.246
GJ 667 C e,62.24,0.3022,247.02,1.45,2.7,0.02,3350.0,-0.55,1,0.59976408,0.3022,1,0.8856451679035632,7.97999999999999,M,False,False,False,True,0.8379
Kepler-164 d,28.986769,35.89,637.0,2.45,6.57,0.0,5888.0,0.0,0,0.26682064,35.89,0,0.4467526285816283,382.0,G,True,False,False,False,0.4187
Kepler-431 c,8.703,415.545,951.0,0.668,0.229,0.0,6004.0,0.07,0,0.2826297,415.545,0,0.768256237354972,696.0,F,False,False,False,False,0.293
